Station Name,Zone,Address,Post Code District
Hampstead Underground Station,2+3,"Hampstead Station,London Underground Ltd.,Hampstead High St,London,NW3 1QG",NW3
Victoria Underground Station,1,"Victoria Underground Station,London Underground Ltd.,Victoria St,London,SW1E 5ND",SW1E
Leyton Underground Station,3,"Leyton Underground Station,London Underground Ltd.,High Rd,Leyton,London,E10 5PS",E10
Gloucester Road Underground Station,1,"Gloucester Road Station,London Underground Ltd.,Gloucester Rd,London,SW7 4SF",SW7
Leytonstone Underground Station,3+4,"Leytonstone Station,London Underground Ltd.,Church Lane,London,E11 1HE",E11
Balham Underground Station,3,"Balham Underground Station,London Underground Ltd.,Balham High Rd,London,SW12 9BW",SW12
Clapham South Underground Station,2+3,"Clapham South Station,London Underground Ltd.,Balham Hill,London,SW12 9DU",SW12
Arnos Grove Underground Station,4,"Arnos Grove Station,London Underground Ltd.,Bowes Rd,London,N11 1AN",N11
Ealing Common Underground Station,3,"Ealing Common Station,London Underground Ltd.,Uxbridge Rd,London,W5 3LD",W5
Oval Underground Station,2,"Oval Station,London Underground Ltd.,318 Kennington Park Rd,London,SE11 4PP",SE11
Morden Underground Station,4,"Morden Underground Station,London Underground Ltd.,London Rd,Morden,Surrey,SM4 5AZ",SM4
Woodford Underground Station,4,"Woodford Station,London Underground Ltd.,Snakes Lane,Woodford Green,Essex",null
Warren Street Underground Station,1,"Warren Street Station,London Underground Ltd.,Tottenham Court Rd,London,NW1 3AA",NW1
South Kensington Underground Station,1,"South Kensington Station,London Underground Ltd.,Pelham St,London,SW7 2NB",SW7
Euston Square Underground Station,1,"Euston Square Station,London Underground Ltd.,Euston Rd,London,NW1 2BN",NW1
West Ham DLR Station,2/3,"West Ham Underground Station,London Underground Ltd.,Manor Rd,London,E15 3BN",E15
Redbridge Underground Station,4,"Redbridge Station,London Underground Ltd.,Eastern Avenue,Ilford,Essex,IG4 5DQ",IG4
Elephant & Castle Underground Station,1+2,"Elephant & Castle Underground Station,London Underground Ltd.,London Rd,London,SE1 6LW",SE1
Theydon Bois Underground Station,6,"Theydon Bois Station,London Underground Ltd.,Coppice Row,Theydon Bois,Essex,CM16 7EU",CM16
Bow Road Underground Station,2,"Bow Road Station,London Underground Ltd.,Bow Road,London,E3 4DH",E3
Hillingdon Underground Station,6,"Hillingdon Station,London Underground Ltd.,Long Lane,Hillingdon,Uxbridge,Middlesex,UB10 9NR",UB10
East India DLR Station,2+3,null,null
Edgware Road (Circle Line) Underground Station,1,"Edgware Road Circle,London Underground Ltd.,Chapel Street,London,NW1 5DH",NW1
Leicester Square Underground Station,1,"Leicester Square Station,London Underground Ltd.,Cranbourn St,London,WC2H 0AP",WC2H
Northwick Park Underground Station,4,"Northwick Park Station,London Underground Ltd.,Northwick Avenue,Harrow,Middx,HA3 0AT",HA3
Willesden Junction Underground Station,2+3,"Willesden Junction,London Overground Ltd.,Station Approach,Harlesden,NW10 4UY",NW10
Cyprus DLR Station,3,null,null
St. Paul's Underground Station,1,"St. Paul's,London Underground Ltd.,Cheapside,London,EC1",EC1
Ladbroke Grove Underground Station,2,"Ladbroke Grove Station,London Underground Ltd.,Ladbroke Grove,London,W10 6HJ",W10
Archway Underground Station,2+3,"Archway Station,London Underground Ltd.,Junction Rd,London,N19 5RQ",N19
Waterloo Underground Station,1,"Waterloo Underground Station,London Underground Ltd.,York Rd,London,SE1 7ND",SE1
Star Lane DLR Station,2/3,null,null
Wembley Central Underground Station,4,"Wembley Central,London Overground Ltd.,High Road,Wembley,HA9 7AJ",HA9
Tower Hill Underground Station,1,"Tower Hill Station,London Underground Ltd.,Trinity Square,London,EC3N 4DJ",EC3N
Westminster Underground Station,1,"Westminster Station,London Underground Ltd.,Bridge St,London,SW1A 2JR",SW1A
Camden Town Underground Station,2,"Camden Town Station,London Underground Ltd.,Camden High St,London,NW1 8NH",NW1
Finchley Central Underground Station,4,"Finchley Central Station,London Underground Ltd.,Regents Park Road,London,N3 2RY",N3
Farringdon Underground Station,1,"Farringdon Station,London Underground Ltd.,Cowcross St,London,EC1M 6BY",EC1M
Bounds Green Underground Station,3+4,"Bounds Green Station,London Underground Ltd.,Bounds Green Rd,London,N11 2EU",N11
Dagenham East Underground Station,5,"Dagenham East Station,London Underground Ltd.,North Rainham Rd,Dagenham,Essex,RM10 8AA",RM10
Upminster Bridge Underground Station,6,"Upminster Bridge Station,London Underground Ltd.,Upminster Rd,Hornchurch,Essex,RM12 6PL",RM12
